producto_id,producto,ubicacion,qty,available_qty
3141,[A1141] Minifix. Tornillo y tuerca para uniones. Unidad.,WH/Stock,-330.0,-330.0
2797,"[A1150] Pestillo magnético redondo de ABS para puertas, Cierre magnético para armarios, cajones y armarios Color Blanco",WH/Stock,-250.0,-250.0
1815,[A445] Galletas de madera (Biscuits) N° 20. Para uniones en trabajo de carpintería. Bolsa 100 unidades,WH/Stock,-29.0,-29.0
1814,[A444] Galletas de madera (Biscuits) N° 10. Para uniones en trabajo de carpintería. Bolsa 100 unidades,WH/Stock,-19.0,-19.0
1813,[A443] Galletas de madera (Biscuits) N° 00. Para uniones en trabajo de carpintería. Bolsa 100 unidades,WH/Stock,-13.0,-13.0
2814,"[A903] Conector 301 Tarugos de nylon 10 mm x 20 mm (3/8"")- Bolsa de 20 unidades",WH/Stock,-13.0,-13.0
2485,"[A790] Rafix soporte de estante para muebles, gabinetes de cocina- Bolsa de 6 unidades",WH/Stock,-10.0,-10.0
2484,[A878] Minifix. Tornillo y tuerca para uniones. Paquete de 6 unidades. ,WH/Stock,-10.0,-10.0
1511,[A664] Ruedas con freno para perfiles de aluminio 4040 y muebles,WH/Listo para salir,-8.0,-8.0
2939,[A999] Destornillador de Impacto Manual con Juego de Puntas - Herramienta Profesional para Aflojar Tornillos Recalcitrantes,WH/Stock,-6.0,-6.0
1080,[A096] Broca avellanadora 2.8*8 mm,WH/Stock,-6.0,-6.0
2542,"[A804] Broca avellanadora cuello de 10 mm (3/8""), Ángulos 45º y 90º -  Toma Rápida 1/4""",WH/Stock,-5.0,-5.0
2912,Fresa de Extremo en Espiral de Carburo con Recubrimiento Nano de 4x25x50 para Corte CNC Ref: V19,WH/Stock,-4.0,-4.0
2532,[A817] CNC Rodillo RR2 para laser de AlgoLaser,WH/Stock,-4.0,-4.0
1118,[A149] Brocas avellanadoras HSS  mechas de 3mm a 10mm. Set 7 pcs,WH/Stock,-4.0,-4.0
2703,[A950] CNC AlgoLaser Alpha  MK2 Grabador láser de diodo de 20W,WH/Stock,-4.0,-4.0
1395,"[A649] Rodamiento para fresas 4,76*12,7mm Individual",WH/Stock,-2.0,-2.0
1148,[A130] Broca sacabocados/sacatarugos de 4 dientes/garras 6-10-13 y 16 mm,WH/Stock,-2.0,-2.0
1055,[A030] Adaptador de alargo para guía SBR20,WH/Stock,-2.0,-2.0
2834,[A954] CNC Rodillo Rotatorio 4 en 1 para Grabador Láser  (ARC)- Versatilidad y Precisión en Tus Proyectos AlgoLaser,WH/Stock,-2.0,-2.0
3098,[A1125] Guía de Piso Ajustable para Puerta Corrediza tipo Granero – Acero al Carbono Reforzado,WH/Stock,-2.0,-2.0
2941,[A1060] Kit de Enhebrador de Tuberías Manual con Mango de Trinquete - Incluye 4 Tallas y Estuche de Almacenamiento,WH/Stock,-2.0,-2.0
1374,[A711] Tapones plásticos para tornillos - 100 piezas en negro,WH/Stock,-2.0,-2.0
1452,[A072] Bisagra oculta o invisible ajustable de 180 grados G80 - 80 kg - Color dorado,WH/Stock,-2.0,-2.0
1633,[A095] Broca avellanadora 2.8*10 mm,WH/Stock,-2.0,-2.0
2897,[A910] Abrazadera mágnetica de Alineación para Soldadura de Tubos,WH/Stock,-2.0,-2.0
1357,"[A670] SUIZAN Sierra japonesa de mano - Sierra de tracción Dozuki 7"" Dozuki (dovetail) para cortes precisos",WH/Stock,-2.0,-2.0
2074,[A056] Broca avellanadora 2.8 x 10 mm de cuello con tope ajustable para madera profundidad 2.5-10.5 mm,WH/Listo para salir,-2.0,-2.0
3107,"[A2243] Broca Escalonada de Cono con Recubrimiento de Diamante | 20 mm a 50 mm | Para Cerámica, Azulejo, Porcelanato y Piedra . M10",WH/Stock,-2.0,-2.0
3330,[A2107] Cierre pico de loro (Bronce) Pequeño,WH/Stock,-2.0,-2.0
2562,[A800] Aceite de Linaza Doble Cocido para madera 250 ml,WH/Listo para salir,-2.0,-2.0
1471,[A607] Prensa Abrazaderas de acero para instalación frontal de cajones. Set 2 pcs,WH/Stock,-2.0,-2.0
1498,[A131] Broca sierra corona bimetálica 100 mm (4 pulgadas) - Acero al carbono,WH/Stock,-1.0,-1.0
2344,[A488] Juego de Gubias / cinceles para  talla. Set 12 unidades de acero al cromo vanadio con caja de madera,WH/Listo para salir,-1.0,-1.0
2285,[A178] Chapa de madera teñida natural 250cm  x 21 cm french linearwood: Color: Ivory Blanco,WH/Stock,-1.0,-1.0
2935,"[A972] Convertidor Hexagonal de 1/2"" a 1/4"" con Liberación Rápida - Adaptador para Llave de Impacto y Trinquete",WH/Stock,-1.0,-1.0
2348,"[A104] Broca de perforación tipo corona para cerámica, azulejos, vidrio grueso, set 7 pz de 6-10-18-25-35-45-60 mm",WH/Stock,-1.0,-1.0
2543,[A802] Broca avellanadora azul con tope de profundidad de 8 mm (5/16 Pulgadas) con toma rápida,WH/Listo para salir,-1.0,-1.0
2541,"[A805] Broca avellanadora cuello de 8 mm, Ángulos 45º y 90º - Toma Rápida 1/4""",WH/Listo para salir,-1.0,-1.0
3250,Cabezal de 20w para MK2 Algo Laser,WH/Stock,-1.0,-1.0
1161,[A263] Disco escofina de desbaste cóncavo 5/8 - Herramienta abrasiva para trabajos de desbaste y lijado,WH/Stock,-1.0,-1.0
2094,[A176] Chapa de madera teñida natural 250 cm x 21 cm: Color: Amarillo,WH/Stock,-1.0,-1.0
2563,[A789] Aceite de Linaza Doble Cocido para madera 1 Litro,WH/Listo para salir,-1.0,-1.0
2256,[A393] Fresa para trompo industrial eje de 35mm para ranurado de 10 mm,WH/Stock,-1.0,-1.0
2282,[A175] Chapa de madera de nogal natural 80 cm x 34cm: Color: nogal americano,WH/Stock,-1.0,-1.0
2290,"[A669] SUIZAN Sierra de tracción japonesa Sierra de mano Ryoba de doble filo de 9,5 pulgadas (240 mm) para carpintería",WH/Stock,-1.0,-1.0
2286,[A174] Chapa de madera de nogal natural 250cm x 34cm: Color: nogal americano,WH/Stock,-1.0,-1.0
1322,[A567] Piedra de repuesto para afilador de broca,WH/Stock,-1.0,-1.0
2930,[A1072] Fresadora router CNC Two-trees TTC450 PRO para Grabado y Fresado de Alta Precisión,WH/Stock,-1.0,-1.0
1130,"[A168] Cepillo manual de carpintero, Guillame en madera de caoba 150mm - Hoja estrecha de 25mm",WH/Stock,-1.0,-1.0
1360,"[A693] Sierra japonesa SUIZAN Sierra de tracción Kataba (de un solo filo) de 10,5 pulgadas para carpintería",WH/Stock,-1.0,-1.0
2915,"[A923] Alargador/adaptador extensor para router vástago de 1/2"" a 1/2""  ER 20M",WH/Stock,-1.0,-1.0
2049,"[A242] Cuchillas modelo ""A"" para máquina neumática  para biselar metal y madera / chanfer.  Set 2 pcs.",WH/Stock,-1.0,-1.0
3165,[A2239] Bisagra Pivotante Oculta de Acero Inoxidable para Puertas Abatibles – 75x17 mm,WH/Listo para salir,-1.0,-1.0
2910,Fresa para trompo machimbre lengüeta de 3.7 mm.,WH/Stock,-1.0,-1.0
2420,[A893] TOYO™ TC-17H: Pieza de Repuesto para Cortadores Supercutters,WH/Stock,-1.0,-1.0
1523,[A771] Tuerca bloque M6 para rieles en T universales,WH/Stock,-1.0,-1.0
2655,"[A1114] [A832] Cuchillas para Cepilladora y Canteadora HSS Calidad W6 (Juego de 3 hojas) 20"" Pulgadas x30x3",WH/Stock,-1.0,-1.0
2533,[A801] AlgoLaser Smart Air Assist para grabador CNC láser,WH/Stock,-1.0,-1.0
3386,[A2153] Afilador de aleación de tungsteno,WH/Stock,-1.0,-1.0
1348,"[A648] Rodamiento para fresa 4,76*9,52mm",WH/Stock,-1.0,-1.0
1585,[A057] Broca avellanadora 2.8 x 8 mm de cuello con tope ajustable para madera profundidad 2.5-10.5 mm,WH/Stock,-1.0,-1.0
2905,[A1009] Engalletadora HBJ1002 alta potencia 900W 100mm máquina de carpintería ensambladora de galletas,WH/Stock,-1.0,-1.0
1604,[A055] CNC Atomstack X7 Pro: Grabadora láser 50W Máquina cortadora de grabado para madera y Metal 410 x 400 mm,WH/Stock,-1.0,-1.0
1967,[A634] Remachadora de tuercas de incersión M3 / M4 / M5 / M6 / M8: la herramienta esencial para carpinteros y ebanistas,WH/Listo para salir,-1.0,-1.0
1562,[A467] Guía o Riel en T-Track Universal en Aluminio para Proyectos de Sierra o Router 1000mm,WH/Listo para salir,-1.0,-1.0
1090,[A108] Broca forstner de carburo de tungsteno 100 mm,WH/Stock,-1.0,-1.0
1611,[A010] CNC ATOMSTACK M4 Grabador láser de fibra Portátil,WH/Stock,-1.0,-1.0
1476,[A508] Kit de adaptador de escoplo profesional con caja y accesorios,WH/Stock,-1.0,-1.0
1111,[A127] Broca sacabocados / sacatarugos con toma rápida para taladro. Set 4 pcs.,WH/Stock,-1.0,-1.0
1358,"[A672] SUIZAN Sierra japonesa de mano. Sierra doble filo para corte en bruto Ryoba 7 """,WH/Stock,-1.0,-1.0
2050,"[A537] Máquina neumática  para lijado de aire, pulidora. 16.000 RPM",WH/Listo para salir,-1.0,-1.0
1497,"[A133] Broca sierra corona bimetálica 150 mm (5,9 pulgadas) - Acero al carbono",WH/Stock,-1.0,-1.0
1203,[A317] Formón cromo vanadio 22 mm,WH/Stock,-1.0,-1.0
